id_review;id_course;url;rating;platform;review;language
67;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Suitable for everyone.;English
68;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;I loved the instructor. He was very engaging and made the course and the material very interesting.;English
69;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;4;coursera;Excellent!!;English
571;aHR0cHM6Ly9wbGF0emkuY29tL2N1cnNvcy9saW51eC9vcGluaW9uZXMv;https://platzi.com/cursos/linux/opiniones/;5.0;platzi;Excelente curso.;Spanish
70;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Great overall course, multiple nuances, and insights presented on a variety of subjects related to communication. On the negative side, the evaluation could be more interactive, not only consisting of multiple choice quizzes but maybe include some written task or even video eschange. ;English
71;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;2;coursera;Only week 4 contains topics about Communication...;English
72;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Overall excellent course, some of it was a little bit of difficult, but the lessons that were worth it were more than valuable and worth their weight in Gold !;English
73;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Excellent;English
74;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Great course! Gave me some great tools to improve communication in my current career as a military officer.  ;English
75;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;4;coursera;Very impressive and interesting course;English
76;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;I loved the course, its is simple clear and share a critical view on how we can communicate. ;English
77;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;Very interesting course and wonderfully delivered by Professor Maurice Schweitzer. It was an immense value addition to me. Enjoyed every bit of the course. Thank you.;English
78;aHR0cHM6Ly93d3cuY291cnNlcmEub3JnL2xlYXJuL3doYXJ0b24tY29tbXVuaWNhdGlvbi1za2lsbHMvcmV2aWV3cw==;https://www.coursera.org/learn/wharton-communication-skills/reviews;5;coursera;good;English
